subject,condition,trial_type,trial_num,target_item,selected_item,correct,landing_position,excluded
4,left,training,10,4,0,0,,True
4,left,training,11,5,4,0,,True
4,left,training,12,2,2,1,,True
4,left,training,13,0,1,0,,True
4,left,training,14,6,6,1,,True
4,left,training,15,3,3,1,,True
4,left,training,16,4,4,1,,True
4,left,training,17,5,5,1,,True
4,left,training,18,6,6,1,,True
4,left,training,19,3,3,1,,True
4,left,training,20,7,7,1,,True
4,left,training,21,1,1,1,,True
4,left,training,22,0,0,1,,True
4,left,training,23,2,2,1,,True
4,left,training,24,5,5,1,,True
4,left,training,25,3,3,1,,True
4,left,training,26,2,2,1,,True
4,left,training,27,7,7,1,,True
4,left,training,28,1,1,1,,True
4,left,training,29,4,4,1,,True
4,left,training,30,6,6,1,,True
4,left,training,31,0,0,1,,True
4,left,training,32,7,7,1,,True
4,left,training,33,6,6,1,,True
4,left,training,34,2,2,1,,True
4,left,training,35,4,4,1,,True
4,left,training,36,3,3,1,,True
4,left,training,37,5,5,1,,True
4,left,training,38,1,1,1,,True
4,left,training,39,0,0,1,,True
4,left,training,40,5,5,1,,True
4,left,training,41,3,3,1,,True
4,left,training,42,1,1,1,,True
4,left,training,43,0,0,1,,True
4,left,training,44,7,7,1,,True
4,left,training,45,2,2,1,,True
4,left,training,46,6,6,1,,True
4,left,training,47,4,4,1,,True
4,left,training,48,2,2,1,,True
4,left,training,49,3,3,1,,True
4,left,training,50,0,0,1,,True
4,left,training,51,5,5,1,,True
4,left,training,52,4,4,1,,True
4,left,training,53,1,1,1,,True
4,left,training,54,6,6,1,,True
4,left,training,55,7,7,1,,True
4,left,training,56,6,6,1,,True
4,left,training,57,1,1,1,,True
4,left,training,58,4,4,1,,True
4,left,training,59,0,0,1,,True
4,left,training,60,3,3,1,,True
4,left,training,61,2,4,0,,True
4,left,training,62,5,1,0,,True
4,left,training,63,7,7,1,,True
4,left,test,0,5,5,1,68,True
4,left,test,1,1,1,1,89,True
4,left,test,2,0,0,1,80,True
4,left,test,3,3,3,1,86,True
4,left,test,4,6,6,1,99,True
4,left,test,5,3,3,1,93,True
4,left,test,6,1,1,1,96,True
4,left,test,7,6,6,1,92,True
4,left,test,8,0,0,1,92,True
4,left,test,9,2,2,1,85,True
4,left,test,10,7,7,1,106,True
4,left,test,11,6,6,1,92,True
4,left,test,12,7,7,1,98,True
4,left,test,13,2,4,0,93,True
4,left,test,14,5,5,1,98,True
4,left,test,15,5,5,1,87,True
4,left,test,16,6,6,1,82,True
4,left,test,17,6,6,1,102,True
4,left,test,18,2,2,1,79,True
4,left,test,19,1,1,1,89,True
4,left,test,20,4,4,1,84,True
4,left,test,21,0,0,1,88,True
4,left,test,22,0,0,1,92,True
4,left,test,23,2,2,1,112,True
4,left,test,24,4,4,1,83,True
4,left,test,25,4,4,1,89,True
4,left,test,26,2,2,1,80,True
4,left,test,27,4,4,1,91,True
4,left,test,28,0,0,1,97,True
4,left,test,29,1,1,1,82,True
4,left,test,30,3,3,1,80,True
4,left,test,31,7,7,1,91,True
4,left,test,32,6,6,1,95,True
4,left,test,33,7,7,1,82,True
4,left,test,34,1,1,1,80,True
4,left,test,35,1,1,1,82,True
4,left,test,36,6,6,1,127,True
4,left,test,37,0,0,1,115,True
4,left,test,38,7,7,1,97,True
4,left,test,39,5,5,1,92,True
4,left,test,40,3,3,1,106,True
4,left,test,41,7,7,1,104,True
4,left,test,42,0,0,1,99,True
4,left,test,43,5,5,1,88,True
4,left,test,44,3,3,1,77,True
4,left,test,45,5,5,1,85,True
4,left,test,46,3,3,1,100,True
4,left,test,47,3,3,1,106,True
4,left,test,48,1,1,1,131,True
4,left,test,49,4,4,1,107,True
4,left,test,50,5,5,1,81,True
4,left,test,51,2,2,1,100,True
4,left,test,52,2,2,1,113,True
4,left,test,53,3,3,1,82,True
4,left,test,54,1,1,1,129,True
4,left,test,55,2,2,1,94,True
4,left,test,56,4,4,1,101,True
4,left,test,57,5,5,1,118,True
4,left,test,58,4,4,1,121,True
4,left,test,59,7,7,1,82,True
4,left,test,60,6,6,1,98,True
4,left,test,61,4,4,1,127,True
4,left,test,62,0,0,1,84,True
4,left,test,63,7,7,1,90,True
5,left,training,0,4,6,0,,False
5,left,training,1,6,5,0,,False
5,left,training,2,1,7,0,,False
5,left,training,3,5,1,0,,False
5,left,training,4,3,4,0,,False
5,left,training,5,7,7,1,,False
5,left,training,6,0,4,0,,False
